gene,bin,bin_adv,dN/dS,species
CaSa_OIIb.chr4.v1.g219110.t1,Autosomal,Autosomal,0.06063,cannabis
CaSa_OIIb.chr3.v1.g174690.t1,Autosomal,Autosomal,0.0606,cannabis
CaSa_OIIb.chr3.v1.g146560.t1,Autosomal,Autosomal,0.06058,cannabis
CaSa_OIIb.chr1.v1.g083550.t1,Autosomal,Autosomal,0.06056,cannabis
CaSa_OIIb.chr1.v1.g104980.t1,Autosomal,Autosomal,0.06052,cannabis
CaSa_OIIb.chr1.v1.g063030.t1,Autosomal,Autosomal,0.06046,cannabis
CaSa_OIIb.chr8.v1.g326810.t1,Autosomal,Autosomal,0.06039,cannabis
CaSa_OIIb.chrX.v1.g434900.t1,X-linked,HXR,0.06038,cannabis
CaSa_OIIb.chr4.v1.g190590.t1,Autosomal,Autosomal,0.06037,cannabis
CaSa_OIIb.chr3.v1.g180130.t1,Autosomal,Autosomal,0.06037,cannabis
CaSa_OIIb.chr3.v1.g144800.t1,Autosomal,Autosomal,0.0603,cannabis
CaSa_OIIb.chr9.v1.g365570.t1,Autosomal,Autosomal,0.0603,cannabis
CaSa_OIIb.chr2.v1.g137340.t1,Autosomal,Autosomal,0.06018,cannabis
CaSa_OIIb.chr7.v1.g317820.t1,Autosomal,Autosomal,0.06016,cannabis
CaSa_OIIb.chr6.v1.g255840.t1,Autosomal,Autosomal,0.06012,cannabis
CaSa_OIIb.chrX.v1.g421990.t1,X-linked,HXR,0.06006,cannabis
CaSa_OIIb.chr4.v1.g216870.t1,Autosomal,Autosomal,0.06001,cannabis
CaSa_OIIb.chr2.v1.g113580.t1,Autosomal,Autosomal,0.05996,cannabis
CaSa_OIIb.chr1.v1.g101670.t1,Autosomal,Autosomal,0.05993,cannabis
CaSa_OIIb.chr3.v1.g180910.t1,Autosomal,Autosomal,0.05991,cannabis
CaSa_OIIb.chr7.v1.g301140.t1,Autosomal,Autosomal,0.05988,cannabis
CaSa_OIIb.chr2.v1.g127150.t1,Autosomal,Autosomal,0.05986,cannabis
CaSa_OIIb.chr1.v1.g062300.t1,Autosomal,Autosomal,0.05985,cannabis
CaSa_OIIb.chrX.v1.g400820.t1,X-linked,PAR,0.05982,cannabis
CaSa_OIIb.chr1.v1.g064390.t1,Autosomal,Autosomal,0.0598,cannabis
CaSa_OIIb.chr9.v1.g388430.t1,Autosomal,Autosomal,0.05975,cannabis
CaSa_OIIb.chr9.v1.g359320.t1,Autosomal,Autosomal,0.05975,cannabis
CaSa_OIIb.chr9.v1.g356220.t1,Autosomal,Autosomal,0.05972,cannabis
CaSa_OIIb.chr7.v1.g318660.t1,Autosomal,Autosomal,0.0597,cannabis
CaSa_OIIb.chr4.v1.g213170.t1,Autosomal,Autosomal,0.05969,cannabis
CaSa_OIIb.chr1.v1.g082490.t1,Autosomal,Autosomal,0.05967,cannabis
CaSa_OIIb.chr7.v1.g315340.t1,Autosomal,Autosomal,0.05961,cannabis
CaSa_OIIb.chr9.v1.g368190.t1,Autosomal,Autosomal,0.05956,cannabis
CaSa_OIIb.chr2.v1.g142720.t1,Autosomal,Autosomal,0.05954,cannabis
CaSa_OIIb.chr6.v1.g282860.t1,Autosomal,Autosomal,0.05951,cannabis
CaSa_OIIb.chr5.v1.g247940.t1,Autosomal,Autosomal,0.0595,cannabis
CaSa_OIIb.chr2.v1.g138830.t1,Autosomal,Autosomal,0.05948,cannabis
CaSa_OIIb.chr1.v1.g081690.t1,Autosomal,Autosomal,0.05944,cannabis
CaSa_OIIb.chr6.v1.g290330.t1,Autosomal,Autosomal,0.05942,cannabis
CaSa_OIIb.chrX.v1.g390860.t1,X-linked,PAR,0.05941,cannabis
CaSa_OIIb.chr4.v1.g199990.t1,Autosomal,Autosomal,0.05937,cannabis
CaSa_OIIb.chrX.v1.g406790.t1,X-linked,PAR,0.05927,cannabis
CaSa_OIIb.chr1.v1.g078490.t1,Autosomal,Autosomal,0.05926,cannabis
CaSa_OIIb.chr4.v1.g206950.t1,Autosomal,Autosomal,0.05924,cannabis
CaSa_OIIb.chr3.v1.g178970.t1,Autosomal,Autosomal,0.05922,cannabis
CaSa_OIIb.chr2.v1.g130670.t1,Autosomal,Autosomal,0.05922,cannabis
CaSa_OIIb.chr5.v1.g245390.t1,Autosomal,Autosomal,0.05921,cannabis
CaSa_OIIb.chr1.v1.g092920.t1,Autosomal,Autosomal,0.05919,cannabis
CaSa_OIIb.chr6.v1.g258470.t1,Autosomal,Autosomal,0.05918,cannabis
CaSa_OIIb.chr7.v1.g319360.t1,Autosomal,Autosomal,0.05916,cannabis
CaSa_OIIb.chr3.v1.g144810.t1,Autosomal,Autosomal,0.05912,cannabis
CaSa_OIIb.chr3.v1.g175560.t1,Autosomal,Autosomal,0.05909,cannabis
CaSa_OIIb.chr3.v1.g172850.t1,Autosomal,Autosomal,0.05898,cannabis
CaSa_OIIb.chr3.v1.g167770.t1,Autosomal,Autosomal,0.05896,cannabis
CaSa_OIIb.chr8.v1.g347500.t1,Autosomal,Autosomal,0.0589,cannabis
CaSa_OIIb.chr7.v1.g292880.t1,Autosomal,Autosomal,0.0589,cannabis
CaSa_OIIb.chr2.v1.g110670.t1,Autosomal,Autosomal,0.05886,cannabis
CaSa_OIIb.chr2.v1.g114340.t1,Autosomal,Autosomal,0.05883,cannabis
CaSa_OIIb.chr1.v1.g068260.t1,Autosomal,Autosomal,0.05876,cannabis
CaSa_OIIb.chr9.v1.g390230.t1,Autosomal,Autosomal,0.05867,cannabis
CaSa_OIIb.chr4.v1.g218410.t1,Autosomal,Autosomal,0.05866,cannabis
CaSa_OIIb.chr6.v1.g256790.t1,Autosomal,Autosomal,0.05863,cannabis
CaSa_OIIb.chr3.v1.g177960.t1,Autosomal,Autosomal,0.05857,cannabis
CaSa_OIIb.chr4.v1.g216950.t1,Autosomal,Autosomal,0.05857,cannabis
CaSa_OIIb.chr1.v1.g076200.t1,Autosomal,Autosomal,0.05855,cannabis
CaSa_OIIb.chr8.v1.g331140.t1,Autosomal,Autosomal,0.05849,cannabis
CaSa_OIIb.chr6.v1.g258490.t1,Autosomal,Autosomal,0.05846,cannabis
CaSa_OIIb.chr3.v1.g178620.t1,Autosomal,Autosomal,0.05845,cannabis
CaSa_OIIb.chr5.v1.g232990.t1,Autosomal,Autosomal,0.05836,cannabis
CaSa_OIIb.chr1.v1.g102920.t1,Autosomal,Autosomal,0.05835,cannabis
CaSa_OIIb.chr4.v1.g212800.t1,Autosomal,Autosomal,0.05831,cannabis
CaSa_OIIb.chr8.v1.g347000.t1,Autosomal,Autosomal,0.05823,cannabis
CaSa_OIIb.chr6.v1.g266650.t1,Autosomal,Autosomal,0.05822,cannabis
CaSa_OIIb.chr8.v1.g353220.t1,Autosomal,Autosomal,0.05822,cannabis
CaSa_OIIb.chr2.v1.g108820.t1,Autosomal,Autosomal,0.05815,cannabis
CaSa_OIIb.chrX.v1.g395470.t1,X-linked,PAR,0.05808,cannabis
CaSa_OIIb.chr2.v1.g110470.t1,Autosomal,Autosomal,0.05804,cannabis
CaSa_OIIb.chr9.v1.g365590.t1,Autosomal,Autosomal,0.05803,cannabis
CaSa_OIIb.chr7.v1.g318580.t1,Autosomal,Autosomal,0.05797,cannabis
CaSa_OIIb.chr5.v1.g246070.t1,Autosomal,Autosomal,0.05796,cannabis
CaSa_OIIb.chr4.v1.g206900.t1,Autosomal,Autosomal,0.05793,cannabis
CaSa_OIIb.chr3.v1.g146960.t1,Autosomal,Autosomal,0.05781,cannabis
CaSa_OIIb.chr7.v1.g315690.t1,Autosomal,Autosomal,0.05779,cannabis
CaSa_OIIb.chr3.v1.g167020.t1,Autosomal,Autosomal,0.05778,cannabis
CaSa_OIIb.chr8.v1.g353180.t1,Autosomal,Autosomal,0.05778,cannabis
CaSa_OIIb.chr7.v1.g320190.t1,Autosomal,Autosomal,0.05777,cannabis
CaSa_OIIb.chr8.v1.g329840.t1,Autosomal,Autosomal,0.05773,cannabis
CaSa_OIIb.chr5.v1.g221850.t1,Autosomal,Autosomal,0.05766,cannabis
CaSa_OIIb.chr8.v1.g322800.t1,Autosomal,Autosomal,0.05754,cannabis
CaSa_OIIb.chr2.v1.g106310.t1,Autosomal,Autosomal,0.05754,cannabis
CaSa_OIIb.chr8.v1.g349500.t1,Autosomal,Autosomal,0.0575,cannabis
CaSa_OIIb.chr7.v1.g302680.t1,Autosomal,Autosomal,0.05739,cannabis
CaSa_OIIb.chr8.v1.g344670.t1,Autosomal,Autosomal,0.05737,cannabis
CaSa_OIIb.chr2.v1.g114350.t1,Autosomal,Autosomal,0.05735,cannabis
CaSa_OIIb.chr6.v1.g286650.t1,Autosomal,Autosomal,0.05729,cannabis
CaSa_OIIb.chr3.v1.g156380.t1,Autosomal,Autosomal,0.05717,cannabis
CaSa_OIIb.chr5.v1.g252040.t1,Autosomal,Autosomal,0.05717,cannabis
CaSa_OIIb.chr5.v1.g224490.t1,Autosomal,Autosomal,0.05716,cannabis
CaSa_OIIb.chr8.v1.g339740.t1,Autosomal,Autosomal,0.05709,cannabis
CaSa_OIIb.chr8.v1.g336530.t1,Autosomal,Autosomal,0.05706,cannabis
CaSa_OIIb.chr9.v1.g369920.t1,Autosomal,Autosomal,0.05701,cannabis
CaSa_OIIb.chr6.v1.g269550.t1,Autosomal,Autosomal,0.05691,cannabis
CaSa_OIIb.chr3.v1.g172020.t1,Autosomal,Autosomal,0.05687,cannabis
CaSa_OIIb.chr5.v1.g244170.t1,Autosomal,Autosomal,0.05685,cannabis
CaSa_OIIb.chr1.v1.g091410.t1,Autosomal,Autosomal,0.05683,cannabis
CaSa_OIIb.chr2.v1.g142370.t1,Autosomal,Autosomal,0.05671,cannabis
CaSa_OIIb.chrX.v1.g436600.t1,X-linked,HXR,0.05659,cannabis
CaSa_OIIb.chr3.v1.g149500.t1,Autosomal,Autosomal,0.05655,cannabis
CaSa_OIIb.chr4.v1.g213580.t1,Autosomal,Autosomal,0.05655,cannabis
CaSa_OIIb.chr2.v1.g133700.t1,Autosomal,Autosomal,0.05655,cannabis
CaSa_OIIb.chr7.v1.g312660.t1,Autosomal,Autosomal,0.05654,cannabis
CaSa_OIIb.chr5.v1.g252010.t1,Autosomal,Autosomal,0.05652,cannabis
CaSa_OIIb.chr1.v1.g076190.t1,Autosomal,Autosomal,0.05647,cannabis
CaSa_OIIb.chr2.v1.g142010.t1,Autosomal,Autosomal,0.05647,cannabis
CaSa_OIIb.chr1.v1.g100850.t1,Autosomal,Autosomal,0.05645,cannabis
CaSa_OIIb.chr9.v1.g365520.t1,Autosomal,Autosomal,0.05643,cannabis
CaSa_OIIb.chr5.v1.g221920.t1,Autosomal,Autosomal,0.0564,cannabis
CaSa_OIIb.chrX.v1.g398120.t1,X-linked,PAR,0.05639,cannabis
CaSa_OIIb.chrX.v1.g402430.t1,X-linked,PAR,0.05634,cannabis
CaSa_OIIb.chr6.v1.g267100.t1,Autosomal,Autosomal,0.05633,cannabis
CaSa_OIIb.chr2.v1.g129940.t1,Autosomal,Autosomal,0.05632,cannabis
CaSa_OIIb.chr1.v1.g093230.t1,Autosomal,Autosomal,0.05632,cannabis
CaSa_OIIb.chr8.v1.g322300.t1,Autosomal,Autosomal,0.0563,cannabis
CaSa_OIIb.chr4.v1.g182220.t1,Autosomal,Autosomal,0.05621,cannabis
CaSa_OIIb.chr5.v1.g222530.t1,Autosomal,Autosomal,0.0562,cannabis
CaSa_OIIb.chr5.v1.g222800.t1,Autosomal,Autosomal,0.05615,cannabis
CaSa_OIIb.chrX.v1.g417730.t1,X-linked,HXR,0.05614,cannabis
CaSa_OIIb.chr1.v1.g099810.t1,Autosomal,Autosomal,0.05611,cannabis
CaSa_OIIb.chr8.v1.g327980.t1,Autosomal,Autosomal,0.0561,cannabis
CaSa_OIIb.chr9.v1.g362560.t1,Autosomal,Autosomal,0.05608,cannabis
CaSa_OIIb.chrX.v1.g439230.t1,X-linked,HXR,0.05608,cannabis
CaSa_OIIb.chr9.v1.g382750.t1,Autosomal,Autosomal,0.05605,cannabis
CaSa_OIIb.chr1.v1.g098260.t1,Autosomal,Autosomal,0.05604,cannabis
CaSa_OIIb.chr3.v1.g157150.t1,Autosomal,Autosomal,0.05603,cannabis
CaSa_OIIb.chr8.v1.g333140.t1,Autosomal,Autosomal,0.05601,cannabis
CaSa_OIIb.chrX.v1.g395240.t1,X-linked,PAR,0.05601,cannabis
CaSa_OIIb.chr9.v1.g367560.t1,Autosomal,Autosomal,0.05596,cannabis
CaSa_OIIb.chr5.v1.g234690.t1,Autosomal,Autosomal,0.05587,cannabis
CaSa_OIIb.chr7.v1.g293210.t1,Autosomal,Autosomal,0.05584,cannabis
CaSa_OIIb.chr3.v1.g151670.t1,Autosomal,Autosomal,0.05582,cannabis
CaSa_OIIb.chr9.v1.g364950.t1,Autosomal,Autosomal,0.05576,cannabis
CaSa_OIIb.chr7.v1.g310040.t1,Autosomal,Autosomal,0.05571,cannabis
CaSa_OIIb.chr1.v1.g068440.t1,Autosomal,Autosomal,0.05569,cannabis
CaSa_OIIb.chr4.v1.g216490.t1,Autosomal,Autosomal,0.05565,cannabis
CaSa_OIIb.chr1.v1.g089770.t1,Autosomal,Autosomal,0.05557,cannabis
CaSa_OIIb.chr5.v1.g251340.t1,Autosomal,Autosomal,0.05554,cannabis
CaSa_OIIb.chr1.v1.g079350.t1,Autosomal,Autosomal,0.05553,cannabis
CaSa_OIIb.chr3.v1.g150990.t1,Autosomal,Autosomal,0.0555,cannabis
CaSa_OIIb.chr3.v1.g147940.t1,Autosomal,Autosomal,0.05548,cannabis
CaSa_OIIb.chr7.v1.g297800.t1,Autosomal,Autosomal,0.05546,cannabis
CaSa_OIIb.chr7.v1.g295210.t1,Autosomal,Autosomal,0.05545,cannabis
CaSa_OIIb.chr1.v1.g101460.t1,Autosomal,Autosomal,0.05539,cannabis
CaSa_OIIb.chr7.v1.g293040.t1,Autosomal,Autosomal,0.05527,cannabis
CaSa_OIIb.chr1.v1.g071290.t1,Autosomal,Autosomal,0.05526,cannabis
CaSa_OIIb.chr1.v1.g076110.t1,Autosomal,Autosomal,0.05523,cannabis
CaSa_OIIb.chr6.v1.g259630.t1,Autosomal,Autosomal,0.05522,cannabis
CaSa_OIIb.chr2.v1.g118550.t1,Autosomal,Autosomal,0.05521,cannabis
CaSa_OIIb.chr8.v1.g329010.t1,Autosomal,Autosomal,0.05521,cannabis
CaSa_OIIb.chr3.v1.g146930.t1,Autosomal,Autosomal,0.05514,cannabis
CaSa_OIIb.chrX.v1.g395970.t1,X-linked,PAR,0.0551,cannabis
CaSa_OIIb.chr1.v1.g092720.t1,Autosomal,Autosomal,0.05504,cannabis
CaSa_OIIb.chr8.v1.g346900.t1,Autosomal,Autosomal,0.05504,cannabis
CaSa_OIIb.chr1.v1.g090220.t1,Autosomal,Autosomal,0.055,cannabis
CaSa_OIIb.chr3.v1.g145080.t1,Autosomal,Autosomal,0.05498,cannabis
CaSa_OIIb.chr9.v1.g390270.t1,Autosomal,Autosomal,0.05495,cannabis
CaSa_OIIb.chr2.v1.g143080.t1,Autosomal,Autosomal,0.05494,cannabis
CaSa_OIIb.chr7.v1.g294490.t1,Autosomal,Autosomal,0.05493,cannabis
CaSa_OIIb.chr8.v1.g335810.t1,Autosomal,Autosomal,0.05488,cannabis
CaSa_OIIb.chr2.v1.g143970.t1,Autosomal,Autosomal,0.05482,cannabis
CaSa_OIIb.chr5.v1.g252090.t1,Autosomal,Autosomal,0.05481,cannabis
CaSa_OIIb.chrX.v1.g437580.t1,X-linked,HXR,0.05475,cannabis
CaSa_OIIb.chr9.v1.g369230.t1,Autosomal,Autosomal,0.05474,cannabis
CaSa_OIIb.chr9.v1.g369890.t1,Autosomal,Autosomal,0.05473,cannabis
CaSa_OIIb.chr2.v1.g141610.t1,Autosomal,Autosomal,0.05461,cannabis
CaSa_OIIb.chr4.v1.g182230.t1,Autosomal,Autosomal,0.05455,cannabis
CaSa_OIIb.chr9.v1.g388390.t1,Autosomal,Autosomal,0.05453,cannabis
CaSa_OIIb.chr8.v1.g335020.t1,Autosomal,Autosomal,0.05448,cannabis
CaSa_OIIb.chr1.v1.g092620.t1,Autosomal,Autosomal,0.05447,cannabis
CaSa_OIIb.chr2.v1.g137840.t1,Autosomal,Autosomal,0.05446,cannabis
CaSa_OIIb.chr3.v1.g173640.t1,Autosomal,Autosomal,0.05446,cannabis
CaSa_OIIb.chr8.v1.g333960.t1,Autosomal,Autosomal,0.05446,cannabis
CaSa_OIIb.chr4.v1.g182460.t1,Autosomal,Autosomal,0.05441,cannabis
CaSa_OIIb.chr2.v1.g120500.t1,Autosomal,Autosomal,0.05441,cannabis
CaSa_OIIb.chr7.v1.g305930.t1,Autosomal,Autosomal,0.05439,cannabis
CaSa_OIIb.chr2.v1.g115370.t1,Autosomal,Autosomal,0.05439,cannabis
CaSa_OIIb.chr1.v1.g100560.t1,Autosomal,Autosomal,0.05426,cannabis
CaSa_OIIb.chr1.v1.g102890.t1,Autosomal,Autosomal,0.05426,cannabis
CaSa_OIIb.chr8.v1.g353800.t1,Autosomal,Autosomal,0.05426,cannabis
CaSa_OIIb.chr6.v1.g286480.t1,Autosomal,Autosomal,0.05423,cannabis
CaSa_OIIb.chrX.v1.g391570.t1,X-linked,PAR,0.05421,cannabis
CaSa_OIIb.chr8.v1.g348310.t1,Autosomal,Autosomal,0.05418,cannabis
CaSa_OIIb.chr1.v1.g094580.t1,Autosomal,Autosomal,0.05418,cannabis
CaSa_OIIb.chr3.v1.g144790.t1,Autosomal,Autosomal,0.05414,cannabis
CaSa_OIIb.chrX.v1.g434870.t1,X-linked,HXR,0.0541,cannabis
CaSa_OIIb.chrX.v1.g391270.t1,X-linked,PAR,0.05408,cannabis
CaSa_OIIb.chr6.v1.g284600.t1,Autosomal,Autosomal,0.05405,cannabis
CaSa_OIIb.chr7.v1.g293440.t1,Autosomal,Autosomal,0.05405,cannabis
CaSa_OIIb.chrX.v1.g400020.t1,X-linked,PAR,0.05402,cannabis
CaSa_OIIb.chr1.v1.g072610.t1,Autosomal,Autosomal,0.05399,cannabis
CaSa_OIIb.chr3.v1.g157720.t1,Autosomal,Autosomal,0.05399,cannabis
CaSa_OIIb.chr1.v1.g062420.t1,Autosomal,Autosomal,0.05391,cannabis
CaSa_OIIb.chr8.v1.g343510.t1,Autosomal,Autosomal,0.0539,cannabis
CaSa_OIIb.chr9.v1.g388340.t1,Autosomal,Autosomal,0.05384,cannabis
CaSa_OIIb.chrX.v1.g407440.t1,X-linked,PAR,0.05379,cannabis
CaSa_OIIb.chr6.v1.g281300.t1,Autosomal,Autosomal,0.05377,cannabis
CaSa_OIIb.chr2.v1.g140650.t1,Autosomal,Autosomal,0.05375,cannabis
CaSa_OIIb.chr9.v1.g365320.t1,Autosomal,Autosomal,0.05368,cannabis
CaSa_OIIb.chr4.v1.g189220.t1,Autosomal,Autosomal,0.05366,cannabis
CaSa_OIIb.chr6.v1.g265530.t1,Autosomal,Autosomal,0.05358,cannabis
CaSa_OIIb.chr8.v1.g353610.t1,Autosomal,Autosomal,0.05354,cannabis
CaSa_OIIb.chr3.v1.g146330.t1,Autosomal,Autosomal,0.05353,cannabis
CaSa_OIIb.chr2.v1.g143670.t1,Autosomal,Autosomal,0.0534,cannabis
CaSa_OIIb.chr7.v1.g298570.t1,Autosomal,Autosomal,0.0534,cannabis
CaSa_OIIb.chrX.v1.g395150.t1,X-linked,PAR,0.05339,cannabis
CaSa_OIIb.chrX.v1.g439590.t1,X-linked,HXR,0.05339,cannabis
CaSa_OIIb.chrX.v1.g392400.t1,X-linked,PAR,0.05333,cannabis
CaSa_OIIb.chrX.v1.g391650.t1,X-linked,PAR,0.05332,cannabis
CaSa_OIIb.chr8.v1.g348370.t1,Autosomal,Autosomal,0.05323,cannabis
CaSa_OIIb.chr4.v1.g188330.t1,Autosomal,Autosomal,0.05322,cannabis
CaSa_OIIb.chr9.v1.g356980.t1,Autosomal,Autosomal,0.0532,cannabis
CaSa_OIIb.chr1.v1.g091370.t1,Autosomal,Autosomal,0.05317,cannabis
CaSa_OIIb.chr4.v1.g220580.t1,Autosomal,Autosomal,0.05315,cannabis
CaSa_OIIb.chr8.v1.g354840.t1,Autosomal,Autosomal,0.05314,cannabis
CaSa_OIIb.chr8.v1.g335430.t1,Autosomal,Autosomal,0.05305,cannabis
CaSa_OIIb.chr4.v1.g183880.t1,Autosomal,Autosomal,0.05305,cannabis
CaSa_OIIb.chr8.v1.g350300.t1,Autosomal,Autosomal,0.05304,cannabis
CaSa_OIIb.chr2.v1.g144100.t1,Autosomal,Autosomal,0.05286,cannabis
CaSa_OIIb.chr1.v1.g090810.t1,Autosomal,Autosomal,0.05284,cannabis
CaSa_OIIb.chr2.v1.g136580.t1,Autosomal,Autosomal,0.05266,cannabis
CaSa_OIIb.chr3.v1.g158490.t1,Autosomal,Autosomal,0.05265,cannabis
CaSa_OIIb.chr8.v1.g333460.t1,Autosomal,Autosomal,0.05262,cannabis
CaSa_OIIb.chr6.v1.g289300.t1,Autosomal,Autosomal,0.05256,cannabis
CaSa_OIIb.chr1.v1.g095780.t1,Autosomal,Autosomal,0.05255,cannabis
CaSa_OIIb.chr1.v1.g099300.t1,Autosomal,Autosomal,0.05249,cannabis
CaSa_OIIb.chr2.v1.g142070.t1,Autosomal,Autosomal,0.05246,cannabis
CaSa_OIIb.chr9.v1.g388950.t1,Autosomal,Autosomal,0.0524,cannabis
CaSa_OIIb.chr3.v1.g146120.t1,Autosomal,Autosomal,0.05232,cannabis
CaSa_OIIb.chr1.v1.g067040.t1,Autosomal,Autosomal,0.05229,cannabis
CaSa_OIIb.chrX.v1.g435220.t1,X-linked,HXR,0.05222,cannabis
CaSa_OIIb.chr9.v1.g384900.t1,Autosomal,Autosomal,0.05222,cannabis
CaSa_OIIb.chrX.v1.g405410.t1,X-linked,PAR,0.05221,cannabis
CaSa_OIIb.chr9.v1.g361160.t1,Autosomal,Autosomal,0.05217,cannabis
CaSa_OIIb.chr1.v1.g062940.t1,Autosomal,Autosomal,0.05216,cannabis
CaSa_OIIb.chr9.v1.g363570.t1,Autosomal,Autosomal,0.0521,cannabis
CaSa_OIIb.chr9.v1.g364550.t1,Autosomal,Autosomal,0.05206,cannabis
CaSa_OIIb.chr2.v1.g137150.t1,Autosomal,Autosomal,0.05202,cannabis
CaSa_OIIb.chr1.v1.g102640.t1,Autosomal,Autosomal,0.05196,cannabis
CaSa_OIIb.chr1.v1.g082710.t1,Autosomal,Autosomal,0.05196,cannabis
CaSa_OIIb.chr1.v1.g093570.t1,Autosomal,Autosomal,0.0519,cannabis
CaSa_OIIb.chr4.v1.g212650.t1,Autosomal,Autosomal,0.05188,cannabis
CaSa_OIIb.chr8.v1.g345980.t1,Autosomal,Autosomal,0.05188,cannabis
CaSa_OIIb.chr1.v1.g093210.t1,Autosomal,Autosomal,0.05182,cannabis
CaSa_OIIb.chr2.v1.g128600.t1,Autosomal,Autosomal,0.05173,cannabis
CaSa_OIIb.chrX.v1.g431060.t1,X-linked,HXR,0.0516,cannabis
CaSa_OIIb.chr4.v1.g216460.t1,Autosomal,Autosomal,0.05159,cannabis
CaSa_OIIb.chrX.v1.g400260.t1,X-linked,PAR,0.05152,cannabis
CaSa_OIIb.chr7.v1.g302720.t1,Autosomal,Autosomal,0.0515,cannabis
CaSa_OIIb.chr2.v1.g130680.t1,Autosomal,Autosomal,0.05147,cannabis
CaSa_OIIb.chr8.v1.g349460.t1,Autosomal,Autosomal,0.05146,cannabis
CaSa_OIIb.chr6.v1.g288680.t1,Autosomal,Autosomal,0.0514,cannabis
CaSa_OIIb.chr9.v1.g362650.t1,Autosomal,Autosomal,0.05134,cannabis
CaSa_OIIb.chr6.v1.g256420.t1,Autosomal,Autosomal,0.05133,cannabis
CaSa_OIIb.chr3.v1.g162870.t1,Autosomal,Autosomal,0.0513,cannabis
CaSa_OIIb.chr4.v1.g191010.t1,Autosomal,Autosomal,0.05116,cannabis
CaSa_OIIb.chr7.v1.g292250.t1,Autosomal,Autosomal,0.05104,cannabis
CaSa_OIIb.chr9.v1.g369040.t1,Autosomal,Autosomal,0.05099,cannabis
CaSa_OIIb.chr3.v1.g146470.t1,Autosomal,Autosomal,0.05098,cannabis
CaSa_OIIb.chr5.v1.g250160.t1,Autosomal,Autosomal,0.05097,cannabis
CaSa_OIIb.chr6.v1.g280110.t1,Autosomal,Autosomal,0.05092,cannabis
CaSa_OIIb.chr7.v1.g292290.t1,Autosomal,Autosomal,0.05089,cannabis
CaSa_OIIb.chr3.v1.g146860.t1,Autosomal,Autosomal,0.05088,cannabis
CaSa_OIIb.chr8.v1.g330800.t1,Autosomal,Autosomal,0.05082,cannabis
CaSa_OIIb.chr8.v1.g340950.t1,Autosomal,Autosomal,0.05082,cannabis
CaSa_OIIb.chr6.v1.g286390.t1,Autosomal,Autosomal,0.05077,cannabis
CaSa_OIIb.chrX.v1.g414910.t1,X-linked,HXR,0.05061,cannabis
CaSa_OIIb.chr4.v1.g184390.t1,Autosomal,Autosomal,0.05058,cannabis
CaSa_OIIb.chr4.v1.g198070.t1,Autosomal,Autosomal,0.05053,cannabis
CaSa_OIIb.chrX.v1.g435140.t1,X-linked,HXR,0.05052,cannabis
CaSa_OIIb.chr4.v1.g182940.t1,Autosomal,Autosomal,0.05052,cannabis
CaSa_OIIb.chr6.v1.g262950.t1,Autosomal,Autosomal,0.05048,cannabis
CaSa_OIIb.chr2.v1.g144230.t1,Autosomal,Autosomal,0.05044,cannabis
CaSa_OIIb.chr4.v1.g191280.t1,Autosomal,Autosomal,0.05042,cannabis
CaSa_OIIb.chr5.v1.g232040.t1,Autosomal,Autosomal,0.05032,cannabis
CaSa_OIIb.chrX.v1.g400640.t1,X-linked,PAR,0.05023,cannabis
CaSa_OIIb.chr1.v1.g079360.t1,Autosomal,Autosomal,0.05013,cannabis
CaSa_OIIb.chr4.v1.g182200.t1,Autosomal,Autosomal,0.05009,cannabis
CaSa_OIIb.chr5.v1.g233340.t1,Autosomal,Autosomal,0.05001,cannabis
CaSa_OIIb.chr8.v1.g332590.t1,Autosomal,Autosomal,0.04999,cannabis
CaSa_OIIb.chr8.v1.g343790.t1,Autosomal,Autosomal,0.04996,cannabis
CaSa_OIIb.chr9.v1.g359550.t1,Autosomal,Autosomal,0.04991,cannabis
CaSa_OIIb.chr5.v1.g252440.t1,Autosomal,Autosomal,0.04991,cannabis
CaSa_OIIb.chr3.v1.g180210.t1,Autosomal,Autosomal,0.04991,cannabis
CaSa_OIIb.chr3.v1.g145560.t1,Autosomal,Autosomal,0.04986,cannabis
CaSa_OIIb.chr4.v1.g207060.t1,Autosomal,Autosomal,0.04984,cannabis
CaSa_OIIb.chr1.v1.g081370.t1,Autosomal,Autosomal,0.04978,cannabis
CaSa_OIIb.chr1.v1.g084630.t1,Autosomal,Autosomal,0.04978,cannabis
CaSa_OIIb.chrX.v1.g392640.t1,X-linked,PAR,0.04977,cannabis
CaSa_OIIb.chr2.v1.g142390.t1,Autosomal,Autosomal,0.04976,cannabis
CaSa_OIIb.chr9.v1.g362670.t1,Autosomal,Autosomal,0.04968,cannabis
CaSa_OIIb.chr1.v1.g098820.t1,Autosomal,Autosomal,0.04965,cannabis
CaSa_OIIb.chrX.v1.g393140.t1,X-linked,PAR,0.04956,cannabis
CaSa_OIIb.chr7.v1.g318650.t1,Autosomal,Autosomal,0.04955,cannabis
CaSa_OIIb.chr8.v1.g343010.t1,Autosomal,Autosomal,0.04948,cannabis
CaSa_OIIb.chr3.v1.g181340.t1,Autosomal,Autosomal,0.04946,cannabis
CaSa_OIIb.chr2.v1.g132580.t1,Autosomal,Autosomal,0.04946,cannabis
CaSa_OIIb.chr8.v1.g349480.t1,Autosomal,Autosomal,0.04944,cannabis
